post date	Summary and Description	post number
2023-11-14T07:46:38Z	"2023 mt2 p6 (define (explode-pyramid s)  (build-list (string-length s)              (lambda (x)                (build-list (add1 x)                            (lambda (x) (substring s x (add1 x)))))))

Could someone explain how this function works for 2023 mt2 p6? My understanding is that lambda has defined a new variable x that it uses in its function body. But x is never given any value, so then how does this function work? "	1186
2023-11-14T07:17:55Z	"Dr Racket error 
I am continuously getting this error in Dr Racket. I force quite the application and restarted it and still the error is appearing. What should I do about it?"	1185
2023-11-14T06:55:28Z	"2023 w2 mt2 p6 Hi everyone,
When I was trying to solve p6, I noticed that the question is similar to a generic recursion. So I tried to the template for genrec to solve it. 

The question asks to render a pyramid with rectangles of decreasing height, like this picture:


However, with the current code, I am unable to form the shape as instructed. 

Below is my code:

(define SIZE 10)
(define COLOR &#34;blue&#34;)
(define PEN &#34;solid&#34;)

(@htdf pyramid)
(@signature Natural -&gt; Image)
;; produce a pyramid with n-1 visible steps on each side (steps are 10x10)
(check-expect (pyramid 0) empty-image)
(check-expect (pyramid 1) 
              (beside/align &#34;bottom&#34;
                            (rectangle SIZE (* SIZE 1) PEN COLOR)
                            empty-image
                            (rectangle SIZE (* SIZE 1) PEN COLOR)))

;genrec
(define (pyramid n)
  (cond [(&lt;= n 0) empty-image]
        [else
         (local [(define sub
                   (rectangle SIZE (* SIZE n) PEN COLOR))]
           (beside/align &#34;bottom&#34;
                         sub
                         (pyramid (- n 1))
                         sub))]))
and what I have is:

I understand my problem is that at each recursion, the height increases instead of decreasing, because I use n to specify the height.

However, I can&#39;t think of a way to generate an n in the right way. I am thinking using a constant parameter to &#34;fix&#34; the initial n, and then use it to subtract the new n, but it does not seem to work. 

Can anyone tell me what should I do?"	1184
2023-11-14T06:40:11Z	Parameter vs operand Seeing discussion @1094, there is a follow up discussion I’m also confused with, I take a screen shot of that and hope someone can explain it to me, thanks!IMG_3368.jpeg	1183
2023-11-14T05:55:40Z	"Confusion about what the &#34;simplest&#34; way to use abstract functions For 2022 w1 q5, I answered the question using 
(define (in-this-not-that n lon1 lon2)  (local [(define (n? a) (= n a))]  (and (ormap n? lon1) (not (ormap n? lon2)))))Which is also the second solution presented in the solution file, but autograder only gave my answer 55%. Would this answer really only earn 55% on an actual midterm? If so, how do you know that this question should use (andmap (lambda (a) (not (= n a))) lon2)) instead of (not (ormap n? lon2))?
"	1182
2023-11-14T05:32:49Z	"2022w2-mt2 p4: abstract function choice I'm a bit confused about the abstract function choice in the solution of this question.

The provided solution is:
```
(define (most-occurrences l1 l2)
  (foldr max
         0
         (map (lambda (i1)
                (length (filter (lambda (i2) (= i2 i1)) l2)))
              l1))
```
This uses `foldr`, `map`, and `filter`.

My solution was:
```racket
(define (most-occurrences l1 l2)
  (local [(define (to-occurences y)
            (length (filter (lambda (x) (= x y)) l2)))]
    (apply max (map to-occurences (cons 0 l1)))))
```
This was marked as an incorrect abstract function choice.

As you can see, the answers are fairly similar - aside from my choice to use `local`, the only difference is that the solution uses `foldr` and mine uses `apply` with an extra 0 `cons`ed onto the list to handle the case where it's empty. Is this not a valid solution? `apply` is arguably more expressive here, it makes it immediately clear that we're looking for the largest item in the list."	1181
2023-11-14T04:48:41Z	Practice exams have cooldown time I&#39;m not sure if this is true for all exam problems but 2020w1-mt2 files have a cooldown time of an hour. Shouldn&#39;t practice exams not have a cooldown like the practice problems?	1180
2023-11-14T04:19:00Z	"fs-v1.rkt Below is the question and my answer to a question from this starter file.

I couldn&#39;t find the solution on edX, but there&#39;s something wrong with my function that leads to ONE failing tests (the one where I had empty).

(@htdd Element) 
(define-struct elt (name data subs))
;; Element is (make-elt String Integer ListOfElement)
;; interp. An element in the file system, with name, and EITHER data or subs.
;;         If data is 0, then subs is considered to be list of sub elements.
;;         If data is not 0, then subs is ignored.

;; ListOfElement is one of:
;;  - empty
;;  - (cons Element ListOfElement)
;; interp. A list of file system Elements
; .

(define F1 (make-elt &#34;F1&#34; 1 empty))
(define F2 (make-elt &#34;F2&#34; 2 empty))
(define F3 (make-elt &#34;F3&#34; 3 empty))
(define D4 (make-elt &#34;D4&#34; 0 (list F1 F2)))
(define D5 (make-elt &#34;D5&#34; 0 (list F3)))
(define D6 (make-elt &#34;D6&#34; 0 (list D4 D5)))

(define (fn-for-element e)
  (... (elt-name e)    ;String
       (elt-data e)    ;Integer
       (fn-for-loe (elt-subs e))))

(define (fn-for-loe loe)
  (cond [(empty? loe) (...)]
        [else
         (... (fn-for-element (first loe))
              (fn-for-loe (rest loe)))])) 


;; Functions:

; 
; PROBLEM
; 
; Design a function that consumes Element and produces the sum of all the file
; data in the tree.
; 

(@htdf sum-of-files)
(@signature Element -&gt; Natural)
;; produce the sum of all file data in the tree
(check-expect (sum-of-files F1) 1)
(check-expect (sum-of-files F2) 2)
(check-expect (sum-of-files empty) 0)
(check-expect (sum-of-files D4) 3)

;(define (sum-of-files elt) 0) ;stub
(@template-origin Element)
(define (sum-of-files e)
  (if (empty? (elt-data e))
       0
       (&#43; (elt-data e) (add-files (elt-subs e)))))

(define (add-files loe)
  (cond [(empty? loe) 0]
        [else
         (&#43; (sum-of-files (first loe))
            (add-files (rest loe)))])) 
A quick rundown of how I understood my work:
(@htdd Element)
for data definitions
(@htdf tag), signature, purpose, stubsome check-expects(@template-origin Element)
using the template given from Element

(define (sum-of-files e)  (if (empty? (elt-data e))       0       (&#43; (elt-data e) (add-files (elt-subs e)))))
(define (add-files loe)  (cond [(empty? loe) 0]        [else         (&#43; (sum-of-files (first loe))            (add-files (rest loe)))])) 
sum-of-files: produce 0 if the data of the element is empty,  otherwise add the value of the data and the result of add-files of the subs togetheradd-files: produce 0 if the ListOfElement is empty, otherwise add the result of sum-of-files for the first element in the list and the rnr of the rest of ListOfElements together


The only failing test I have is (check-expect (sum-of-files empty) 0). How can I modify my function for this test to not fail?"	1179
2023-11-14T04:10:23Z	"2022-mt2-p2 Need more explanation 
;; Foo is (make-foo Bar[A] Foo[B] Bix[C])
;;
;; Bar is one of:
;;  - false
;;  - (cons Baz[D] Bar[E])
;;
;; Baz is (make-baz Number String Bee[F])
;;
;; Bee is one of:
;;  - false
;;  - (make-bee Number Foo[G])
;;
;; Bix is (make-bix String Number)
;;
A, D, F, G are mutual reference.
Does it because these data definition are referencing each other eventually? Can we call this as mutual reference? or is there another reason why they are MR?

Also, the question ask me

;; Are all the self-reference and mutual-reference relationships in these
;; type comments well-formed?
How can we decide whether the self-reference and mutual-reference relationship are well-formed?"	1178
2023-11-14T04:10:52Z	"Using lab file as a practice for midterm Can I use the lab files for the labs we already did to practice for the midterm? 
Are we allowed to submit lab files to the auto-grader now so that I could see how I did?

Would this affect my grade for labs?"	1177
2023-11-14T02:51:06Z	"How to write signature for abstract function? Hello, guys.
I am not sure how to find signature for abstract function. 
Based on what I knew,  we need to see what each parameter consume and produce. I am not sure if my thought is correct or not. For example, at position C1, it takes a value p and produce a list of string. And C2 also did similar thing like take a data y and produce list of y. I am not sure how to approach other parameter. Maybe I got C1 and C2 wrong as well. Could anyone gives a tip when encountering this problem and what need to do?

"	1175
2023-11-14T02:09:07Z	"2022w2-mt2 p3 parameter or argument Screenshot_2023-11-13_at_6.02.42_PM.png
According to the solution file, E is a parameter instead of an argument or operand. I&#39;ve already done the research on piazza and differentiated between parameters arguments and operands (especially the latter two), and according to me the answer should be argument or operand but not parameter. 
Any explanations please? "	1174
2023-11-14T02:31:12Z	"Lifting definitions in 2022w1-mt2-p3 Hi! So Part 4’s question in 2022w1-mt2-p3 asks how many definitions are lifted during the evaluation in this code:

(define FOO 10)

(define (doit a lon)
  (local [(define (fn x) (if (odd? x) (add1 x) (sub1 x)))
          (define b (foldr &#43; 0 lon))
          (define (bar x)
            (local [(define (foo y)
                      (if (zero? x)
                          (&#43; x y (fn (&#43; b y FOO)))
                          (&#43; x y (fn (&#43; a b)))))]
              (foo a)))]
    (map bar lon)))

(doit 3 (list 1 2 3))

I answered 4 because I saw only four local definitions: fn, b, bar, and foo. But the correct answer is 6. Is this because foo is lifted three times? Why is foo lifted 3 times?

Following up on that question, how many times will bar be lifted? In my understanding, it will be lifted three times for every element in the list (list 1 2 3). But if that’s the case, won’t the answer to Part 4 be 8 and not 6?

Thanks!"	1173
2023-11-14T01:22:55Z	"Questions Please tell which terminology would best fit these highlighted portions:




Why is the part highlighted as function definition not function body?
 "	1172
2023-11-14T01:17:06Z	"practice exam: 2022w2-mt2 p6 Hi, I’m just wondering about my solution to this question is


(define (pyramid n)
  (local [(define (pyr-rec n i) (beside/align &#34;bottom&#34;
                                              (rectangle SIZE (* SIZE n) PEN COLOR) i))]
    (beside (foldr pyr-rec empty-image
                   (map add1 (build-list n identity)))
            (foldl pyr-rec empty-image
                   (map add1 (build-list n identity))))))
which is different from the solution provided but still works and passes all the additional tests

The solution provided: 

(define (pyramid n)
  (foldr (lambda (r rnr)
           (beside/align &#34;bottom&#34; r rnr r))
         empty-image
         (build-list n
                     (lambda (n)
                       (rectangle SIZE (* (&#43; n 1) SIZE) PEN COLOR)))))

However, I got 

 0%  of    45%  x     choice of abstract functions: incorrect 
 
In the exam, if we use different abstract functions than the solution (but still works and satisfy all the requirement), will we get false and lose marks for that?  "	1171
2023-11-14T00:04:52Z	"MT2-P6 fn-composition in template origin? The solution is given as this:


I don&#39;t understand how this is a fn-composition. There is a notion of two different functions doing seperate tasks, but they aren&#39;t quite linked together the way we usually see... 

These functions aren&#39;t exactly nested per-se, if we did it as helper functions instead of lambdas it wouldn&#39;t be a fn-composition I don&#39;t think.

How is this justified?"	1170
2023-11-13T23:52:18Z	"Practice Exam: 2021w2-mt2/mt2-p2 How do we know if we are allowed to touch a piece of existing code in a problem? For example, we are given the following completed template-origin metadata tag in 2021W2-MT2/MT2-P2:

(@template-origin Employee ListOfEmployee ListOfGrant Grant encapsulated)

We are also provided with the following instructions:

 - the function you design must be called find-grant-with-value - you must include ALL relevant @ metadata tags - you must not comment out any @ metadata tags (this note is where I get nervous) - your submission must pass the Check Syntax button - you must use the encapsulated template below in your solution - you must NOT rename any of the local functions inside the template - you must follow all design rules related to templates (but this note makes me think that maybe I am allowed to edit it)

The solution uses a try-catch, but this wasn&#39;t part of the given template-origin tag. Am I allowed to edit it? I have PTSD from editing things that shouldn&#39;t be edited, haha."	1169
2023-11-13T23:07:29Z	"Template origin 
(@template-origin fn-composition)

(define (render-team lop n)
  (cond [(empty? lop) empty]
        [else
         (above (render-cell (string-append &#34;Team &#34; (number -&gt; string n)))
              (render-los (player-names lop)))]))



would it be wrong to include ListOfPlayer in the template origin aswell as the function body is based on that."	1168
2023-11-13T23:08:59Z	"2021 W1 MT2 

For the correct result type, the auto grader only accepts integers. If we have this kind of problem on the problem, would it still be correct to use an integer as the result type? I thought we don&#39;t use them any more

(PLEASE ignore my table)"	1167
2023-11-13T22:52:52Z	"2022 w mt2 p6 Why does the signature say you need to produce n-1 visible steps? If pyramid is given 1, we produce 1 rectangle on the side. I don&#39;t see any mention of 0 based indexing 

(@htdf pyramid)
(@signature Natural -&gt; Image)
;; produce a pyramid with n-1 visible steps on each side (steps are 10x10)


(check-expect (pyramid 1) 
              (beside/align &#34;bottom&#34;
                            (rectangle SIZE (* SIZE 1) PEN COLOR)
                            empty-image
                            (rectangle SIZE (* SIZE 1) PEN COLOR)))"	1166
2023-11-13T22:40:34Z	"2022 w2 mt2 p2 Could someone explain to me why A, D, F, and G are all mutual reference? I had thought of them all as referential.

(define-struct foo (a b c))(define-struct baz (a b c))(define-struct bee (a b))(define-struct bix (a b));;;; Foo is (make-foo Bar[A] Foo[B] Bix[C]);;;; Bar is one of:;;  - false;;  - (cons Baz[D] Bar[E]);;;; Baz is (make-baz Number String Bee[F]);;;; Bee is one of:;;  - false;;  - (make-bee Number Foo[G]);;;; Bix is (make-bix String Number)"	1165
2023-11-13T22:34:23Z	2022w2 p2 Why is the self-reference and mutual-reference relationships in these type comments are not well-formed?(define-struct foo (a b c))(define-struct baz (a b c))(define-struct bee (a b))(define-struct bix (a b));;;; Foo is (make-foo Bar[A] Foo[B] Bix[C]);;;; Bar is one of:;; - false;; - (cons Baz[D] Bar[E]);;;; Baz is (make-baz Number String Bee[F]);;;; Bee is one of:;; - false;; - (make-bee Number Foo[G]);;;; Bix is (make-bix String Number);;	1164
2023-11-13T22:08:51Z	"Optimal Abstract Functions Hello, I have a question about using the optimal abstract functions for a problem. 

I often find myself writing abstract functions and their functions compositions that solve the problem I am trying to do. However, sometimes I lose marks on using the most optimal combination. Is there a good way to tell whether the combination I&#39;m using is optimal?

What I thought is its based on reducing recomputation, as in we want each abstract function in the composition to do only one task, and avoid needless or long computation. Although I struggle to do problems this way sometimes because I can&#39;t tell if what I&#39;m writing would increase computation. I assume one way of telling that is if my local functions are far too complicated. 

Any tips or advice would be much appreciated, thank you!"	1163
2023-11-14T01:56:14Z	"Question 7 For problem 7, this is how I wrote my code: 

(@htdf more-than-n)
(@signature Treasure Natural -&gt; (listof String))
;; produce list of names of treasure with more than n amount of gold

(check-expect (more-than-n T1 64) empty)
(check-expect (more-than-n T1 63) (list &#34;E&#34;))
(check-expect (more-than-n T1 65) empty)
(check-expect (more-than-n T2 30) empty)
(check-expect (more-than-n T2 29) (list &#34;F&#34;))
(check-expect (more-than-n T2 31) empty)
(check-expect (more-than-n T4 4) empty)
(check-expect (more-than-n T4 3) (list &#34;J&#34;))
(check-expect (more-than-n T4 5) empty)
(check-expect (more-than-n T3 18)
              (list &#34;E&#34; &#34;F&#34;))
(check-expect (more-than-n T3 17)
              (list &#34;B&#34; &#34;E&#34; &#34;F&#34;))
(check-expect (more-than-n T3 19)
              (list &#34;E&#34; &#34;F&#34;))
(check-expect (more-than-n T3 64)
              empty)
(check-expect (more-than-n T3 63)
              (list &#34;E&#34;))
(check-expect (more-than-n T3 65)
              empty)

               
;(define (more-than-n t n) empty)

(@template-origin use-abstract-fn)
 
(define (more-than-n t n)
  (local [(define (c1 l a d rmr1 rmr2)
            (if (&gt; (cond [(string=? &#34;buried&#34; rmr1) (* a 2)]
                         [(string=? &#34;sunken&#34; rmr1) (* a 4)]
                         [(string=? &#34;locked&#34; rmr1) (* a 3)]) n)
                   (cons l rmr2)
                   rmr2))]

            (fold-treasure c1 append &#34;buried&#34; &#34;sunken&#34; &#34;locked&#34; empty t)))
I was wondering if I could have done it differently like this:


(define (more-than-n t n)
  (local [(define (c1 l amt d rnh rmr)
            (if (&gt; (* amt rnh) n)
                (cons l rmr)
                rmr))]
          
    (fold-treasure c1 append 2 4 3 empty t)))

Also, I am not sure if it is ok to have c1 perform so many different functions. Is there any different way of solving this problem?"	1162
2023-11-13T20:28:35Z	"2022w2-mt2 Problem 1 Hello, I am a bit confused as to why fn-for-los produces a boolean here. If someone could point me in the right direction that would be very helpful. 


(@htdf get-units)
(@signature Unit Integer String -&gt; ListOfUnit) ;provide!!!
;; produce units with budget &gt;= budget and that perform task
(check-expect (get-units CS 10000001 &#34;research&#34;) (list))
(check-expect (get-units CS 10000000 &#34;research&#34;) (list CS))
(check-expect (get-units CS  9999999 &#34;research&#34;) (list CS))
(check-expect (get-units MA 10000000 &#34;teach&#34;) (list MA))
(check-expect (get-units PR 10000000 &#34;teach&#34;) (list CS MA))
(check-expect (get-units PR 30000000 &#34;admin&#34;) (list PR SC))

;(define (get-units u budget task) empty)

(@template-origin encapsulated Unit ListOfString ListOfUnit)

(define (get-units u0 budget task)
  (local [(define (fn-for-unit u)
            (if (and (&gt;= (unit-budget u) budget)
                     (fn-for-los (unit-tasks u)))
                (cons u (fn-for-lou (unit-subs u)))
                (fn-for-lou (unit-subs u))))

          (define (fn-for-los los)
            (cond [(empty? los) #f]
                  [else
                   (or (string=? (first los) task)
                       (fn-for-los (rest los)))]))

          (define (fn-for-lou lou)
            (cond [(empty? lou) empty]
                  [else
                   (append (fn-for-unit (first lou))
                           (fn-for-lou (rest lou)))]))]

    (fn-for-unit u0)))"	1161
2023-11-13T20:24:34Z	"2019W1 MT2 Q8 This is the answer to 2019W1 MT2 Q8, but I had an answer that used different abstract functions.(@template use-abstract-fn)(define (seats n)  (build-list n              (lambda (i)                (string-append &#34;Seat &#34;                               (number-&gt;string (add1 i))))))




Would my proposed function definition below -- which essentially does the same thing -- still get full marks for a question like this?(@template-origin use-abstract-fn fn-composition)(define (seat-list n)  (local [(define (concat-seat s) (string-append &#34;Seat &#34; s))          (define (no-zero n) (not (string=? n &#34;0&#34;)))]  (map concat-seat (filter no-zero (build-list (&#43; n 1) number-&gt;string)))))"	1160
2023-11-13T20:08:16Z	"2022 w2 q5 When I submitted my code for 2022 w2 q5, I got this autograder message

Error evaluating grader code that calls submitted code - eval:1:0: lambda: found a lambda that is not a function definition
  in: (lambda (lon) (foldr max 0 lon)) 
I thought that we were able to use both lambda and local for mt2? "	1159
2023-11-13T19:32:55Z	"Local P1 from problem bank Hi, I am wondering why is the function definition lifted 3 times instead of 2 when evaluating (boo 2 (list 10 20)).


;; (define (boo x lon)
;;   (local [(define (addx n) (&#43; n x))]
;;     (if (zero? x)
;;         empty
;;         (cons (addx (first lon))
;;               (boo (sub1 x) (rest lon))))))
I thought that it&#39;s only lifted twice because there are 2 numbers in the list, but the solutions lifted it 3 times, and i can&#39;t tell where the last one came from. 

(define (addx_0 n) (&#43; n 2))
(define (addx_1 n) (&#43; n 1))
(define (addx_2 n) (&#43; n 0))"	1158
2023-11-13T19:23:17Z	"When do we use recursion vs when to use reference I have some practice exams and i have uncertainty, there are some questions which identify which arrow is a reference, or self-ref etc. And there are some questions which ask which are recursion, natural helpers etc. How do i distinguish between the two

Or in a more simple manner when do I say this is a natural recursion instead of a self reference"	1157
2023-11-13T19:10:34Z	"Would bar still be a closure if the parameter was switched to x? Hi! For this code, I understand that both bar and foo are closures. bar is a closure because its function body uses parameter a, which is a parameter of the enclosing function. However, what if foo took in a parameter of x instead of a, would bar still be a closure now that bar&#39;s function body doesn&#39;t directly use a parameter of the enclosing function? The body now is (foo x)


(define FOO 10)

(define (doit a lon)
  (local [(define (fn x) (if (odd? x) (add1 x) (sub1 x)))
          (define b (foldr &#43; 0 lon))
          (define (bar x)
            (local [(define (foo y)
                      (if (zero? x)
                          (&#43; x y (fn (&#43; b y FOO)))
                          (&#43; x y (fn (&#43; a b)))))]
              (foo a)))]
    (map bar lon)))

(doit 3 (list 1 2 3))"	1156
2023-11-13T18:41:34Z	"2020w1-mt2 Problem 4 description error 
I think the count test should produce 4 just like the solution posted"	1154
2023-11-13T18:36:23Z	"Test thoroughness quick select Hello, I am asking about question 4 from 2022w2 m2, which asks us to implement quick select. 

These are the tests that I submitted that did not satisfy test thoroughness:
(@htdf qselect)(@signature (listof Number) Number -&gt; Number);; use quickselect to produce the nth smallest element of lon (0 based);; CONSTRAINT: lon contains no duplicates, and has at least n&#43;1 elements(check-expect (qselect (list 2) 0) 2)(check-expect (qselect (list 2 1) 0) 1)(check-expect (qselect (list 1 2) 1) 2)(check-expect (qselect (list 1 5 4 7 8) 2) 5)(check-expect (qselect (list 20 5 6 9 12 13 8) 3) 9)(check-expect (qselect (list 8 3 11 1 12 5 2 10 4 6) 5) 6)(check-expect (qselect (list 1 8 3 11 12 5 2 10 4 6) 0) 1)(check-expect (qselect (list 9 3 5 7 8 16 14 2 6 10 11 1) 7) 9)(check-expect (qselect (list 9 3 5 7 8 16 14 2 6 10 11 1) 11) 16)

Looking at the solution file, my guess is that I needed to test the case where the nth smallest element is at the end of the list. Is there a general rule for tests on functions searching a list? (like testing for the element being found at the beginning, middle, and end of the list)"	1153
2023-11-14T18:48:17Z	"Dr.racket server error 

I cannot submit my file. What should I do?"	1152
2023-11-13T15:43:02Z	"Why E is expression, not if statement? 
I do not know why is that.
Is there any tip so solve glossary problem?"	1151
2023-11-13T06:58:03Z	"2020W2 MT2  Problem 2 Does anyone understand why 6 definitions are lifted each time b is called in the following code? This is question 4 from the 2020w2 midterm 2, thanks!


(define (b n)
  (local [(define (one x) (* x 1))
          (define (two x) (* x b))
          (define (three x) (* x n n n))
          (define a n)
          (define b (* n n))
          (define c (* n n n))]
    (one (two (three n))))) "	1149
2023-11-13T06:08:07Z	where to find definition of terminologies? There are several questions testing about terminologies in recent past midterms, i&#39;m not doing really well on that, however there is also not enough practice for me from the past mts. I want to ask where am i about to find what are all these terminologies corrsponding to?	1148
2023-11-13T05:02:58Z	"clarifying the meaning of closure The edX glossary page definition of closure is: A closure is a locally defined function in which the body of the function uses a parameter of the enclosing function definition. The closure can be defined with local or lambda, but it must be defined inside of another function. In the example below, the helper function bigger? is a closure.

I&#39;m not sure if I have understood it correctly: does closure mean a function inside a local (or just something like (lambda (x)) ) that uses a parameter that is at the top level, and then outside the local (in the function call expression), the parameter is replaced by that function definition which consumes the top-level parameter? Thanks"	1147
2023-11-13T04:59:10Z	"Why would we use (rest lon)? For 2022 MTW2, the solutions uses (rest lon) and (first lon). Would lon and empty respectively not be better? Furthermore, if we ever get an empty the code would result in (rest empty) which produces an error.

  (cond [(empty? (rest lon)) (first lon)]
        [else
         (local [(define p (first lon))
                 (define lon&lt;p (filter (lambda (n) (&lt; n p)) lon))]
           (cond [(= n (length lon&lt;p)) p]
                 [(&lt; n (length lon&lt;p)) (qselect lon&lt;p n)]
                 [else
                  (qselect (filter (lambda (n) (&gt; n p)) lon)
                           (- n (length lon&lt;p) 1))]))]))"	1146
2023-11-13T03:14:25Z	autograder tests fail I&#39;m still a bit confused on what the &#34;autograder additional tests failed&#34; message means exactly. Does it always mean that my check-expects don&#39;t cover all cases? 	1144
2023-11-13T00:25:05Z	"foldr vs foldl I apologize in advance if this is a stupid question/has already been asked and I missed it somewhere.

I&#39;m having a hard time wrapping my head around foldl. I feel as though I have a really good understanding of foldr, but I don&#39;t really understand foldl (specifically how it is different from foldr), or when it would be appropriate to used foldl instead of foldr. 

Can someone please help explain this to me or direct me to course material that explains this? TIA!"	1143
2023-11-13T00:20:33Z	"Lecture 13 starter confusion On the first problem for the second starter file on lecture 13, we design the function body for the abstract function using a local helper. I am confused on where the value of r is gonna come from because the only input into the function is lon. I get that r comes from the list itself, but where is that defined?, as that only becomes apparent in the check expects.

(define (circles lon)  (local [(define (make-c r)            (circle r &#34;solid&#34; &#34;blue&#34;))]  (map make-c lon)))

also, why do we not call map with (map (make-c r) lon)?"	1142
2023-11-12T23:34:39Z	Template origin for abstract fn does it matter to the autograder if we do (@template-origin ListofNumber) or (listof Number) for a abstract function	1141
2023-11-12T23:34:29Z	"Is Three Closure? 
(define (outer x n)
  (local [(define (one x) 2)
          (define (two f) (build-list x f))
          (define (three x) (one x))
          (define four (foldr * 1 (three one)))
          (define five (&lt; n four))]
    (cond [five x]
          [else (outer (add1 x) n)])))
In this case: one, four and five are not closure. Two is closure.

Is Three a Closure?"	1140
2023-11-12T23:33:33Z	"2022w1-mt2 Problem 5 - Question about Grading Rubric Hi there,

For Problem #5 on 2022w1-mt2, I got all my tests to pass and no errors upon running the file; however, upon checking my mark for that problem, I was surprised to find out I only got 55%. The reason being: &#34;choice of abstract functions: incorrect&#34;. I used 2 &#34;ormap&#34; built-in abstract functions wrapped in an &#34;or&#34; predicate to check that x exists in the first list and not the second. The second ormap is wrapped in a &#34;not&#34;. 

Now, I understand that a lot of other files have the following line in the instructions:

&#34;The result of the function must directly be the result of one of the built-in abstract functions. So, for example, the following would not    be a valid function body:
       (define (foo x)         (empty? (filter ...)))&#34;

But this file didn&#39;t have that, so I don&#39;t see why my solution can&#39;t be accepted."	1139
2023-11-12T22:13:32Z	"Local function evaluation in Language tab 
Could someone please explain why the b circled in blue is replaced by its globally defined value of 1, while the b circled in red remains as simply b? For reference this is in the language section of the general website for our class. Thank you."	1138
2023-11-12T20:32:03Z	"I get a server error whenever I submit a Pset I already updated the spd.plt pluggin but I get this error: 
Screenshot_2023-11-12_at_12.25.08_PM.png
Screenshot_2023-11-12_at_12.25.18_PM.png

It still submits to the handins but im just wondering what this means."	1136
2023-11-12T20:15:34Z	"2020 W2 MT2 Q2 Could someone please explain why two is a closure? It&#39;s body is (* x b), and b is a locally defined constant, so I&#39;m not sure why two would be considered a closure. Would it be because the locally defined constant uses n? Thanks!


(define (b n)
  (local [(define (one x) (* x 1))
          (define (two x) (* x b))
          (define (three x) (* x n n n))
          (define a n)
          (define b (* n n))
          (define c (* n n n))]
    (one (two (three n)))))"	1135
2023-11-12T19:38:28Z	"Concat- Problem Bank The problem for concat it seems redudant to go through the natural recursion because it&#39;s a simple append case for the two list , so would my function be marked wrong if i write it like this, solution function also pasted down below:


;; Given the data definition below, design a function called concat that
;; consumes two ListOfString and produces a single list with all the elements 
;; of lsta preceding lstb.
;;
;; (concat (list &#34;a&#34; &#34;b&#34; ...) (list &#34;x&#34; &#34;y&#34; ...)) should produce:
;; 
;; (list &#34;a&#34; &#34;b&#34; ... &#34;x&#34; &#34;y&#34; ...)
;;
;; You are basically going to design the function append using a cross product 
;; of type comments table. Be sure to simplify your design as much as possible.
;; You MUST NOT USE append in your solution!
;;
;; Hint: Think carefully about the values of both lists. You might see a way to 
;; change a cell&#39;s content so that 2 cells have the same value.


;; =================
;; Data Definitions:

(@htdd ListOfString)
;; ListOfString is one of:
;;  - empty
;;  - (cons String ListOfString)
;; interp. a list of strings
(define LOS1 empty)
(define LOS2 (cons &#34;a&#34; (cons &#34;b&#34; empty)))



;; =================
;; Functions:
(@htdf concat)
(@signature ListOfString ListOfString -&gt; ListOfString)
;; concat the two lst of string
(check-expect (concat empty empty) empty)
(check-expect (concat (list &#34;a&#34;) empty) (list &#34;a&#34;))
(check-expect (concat (list &#34;a&#34; &#34;b&#34;) empty) (list &#34;a&#34; &#34;b&#34;))
(check-expect (concat empty (list &#34;a&#34; &#34;b&#34; &#34;C&#34;)) (list &#34;a&#34; &#34;b&#34; &#34;C&#34;))
(check-expect (concat (list &#34;a&#34; &#34;b&#34;) (list &#34;c&#34; &#34;d&#34;)) (list &#34;a&#34; &#34;b&#34; &#34;c&#34; &#34;d&#34;))
(check-expect (concat (list &#34;a&#34; &#34;b&#34;) (list &#34;c&#34; &#34;d&#34; &#34;e&#34;))
              (list &#34;a&#34; &#34;b&#34; &#34;c&#34; &#34;d&#34; &#34;e&#34;))
(check-expect (concat (list &#34;a&#34; &#34;b&#34; &#34;f&#34; &#34;g&#34;) (list &#34;c&#34; &#34;d&#34; &#34;e&#34;))
              (list &#34;a&#34; &#34;b&#34; &#34;f&#34; &#34;g&#34; &#34;c&#34; &#34;d&#34; &#34;e&#34;))

(check-expect (concat empty empty) empty)
(check-expect (concat empty (list &#34;a&#34;)) (list &#34;a&#34;))
(check-expect (concat (list &#34;a&#34;) empty) (list &#34;a&#34;))

(check-expect (concat (list &#34;a&#34; &#34;b&#34;) (list &#34;x&#34; &#34;y&#34;))
              (list &#34;a&#34; &#34;b&#34; &#34;x&#34; &#34;y&#34;))

(@template-origin 2-one-of)



#|

                             l2
                             -----
l1
-----                        empty               (cons String LOS)



 
 empty                        l1   [2]                l2 [1]




(cons String LOS)             l1   [2]            (append l1 l2)) [3]




|#



(define (concat l1 l2)
  (cond [(empty? l1) l2]
        [(empty? l2) l1]
        [else
         (append l1 l2)]))

;SOLUTION
#;
(define (concat lsta lstb)
  (cond [(empty? lstb) lsta] ;(1)
        [(empty? lsta) lstb] ;(2)
        [else                ;(3)
         (cons (first lsta)
               (concat (rest lsta) lstb))]))




              

"	1134
